row_num,row_id,order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,country,city,state,podtsl_code,region,product_id,category,sub_category,product_name,sales
1,7371,CA-2015-107769,2015-10-28,2015-11-01,Standard Class,BT-11395,Bill Tyler,Corporate,united states,garden city,kansas,67846,Central,TEC-PH-10001336,Technology,Phones,digium d40 voip phone,257.98
1,8150,CA-2015-167997,2015-01-26,2015-01-29,First Class,CA-11965,Carol Adams,Corporate,united states,rapid city,south dakota,57701,Central,OFF-BI-10001758,Office Supplies,Binders,wilson jones 14 line acrylic coated pressboard data binders,10.68
1,9018,CA-2017-161361,2017-03-26,2017-03-28,Second Class,MV-17485,Mark Van Huff,Consumer,united states,pocatello,idaho,83201,West,OFF-PA-10001838,Office Supplies,Paper,"adams telephone message book w/dividers/space for phone numbers, 5 1/4""x8 1/2"", 300/messages",17.64
1,8481,CA-2015-109890,2015-07-21,2015-07-27,Standard Class,PG-18820,Patrick Gardner,Consumer,united states,omaha,nebraska,68104,Central,TEC-PH-10004100,Technology,Phones,griffin gc17055 auxiliary audio cable,35.98
1,764,CA-2015-162775,2015-01-13,2015-01-15,Second Class,CS-12250,Chris Selesnick,Corporate,united states,bossier city,louisiana,71111,South,OFF-EN-10001990,Office Supplies,Envelopes,staple envelope,11.36
1,2707,CA-2018-155873,2018-06-16,2018-06-21,Standard Class,AB-10255,Alejandro Ballentine,Home Office,united states,carlsbad,new mexico,88220,West,OFF-PA-10001246,Office Supplies,Paper,xerox 215,19.44
1,4572,US-2016-152128,2016-05-25,2016-05-27,Second Class,NM-18445,Nathan Mautz,Home Office,united states,wichita,kansas,67212,Central,OFF-BI-10001718,Office Supplies,Binders,gbc docubind p50 personal binding machine,127.96
1,4177,CA-2015-128846,2015-04-07,2015-04-12,Standard Class,RS-19765,Roland Schwarz,Corporate,united states,columbia,south carolina,29203,South,TEC-PH-10003273,Technology,Phones,at&t tr1909w,629.95
1,5539,CA-2016-120551,2016-04-13,2016-04-20,Standard Class,SS-20590,Sonia Sunley,Consumer,united states,norfolk,nebraska,68701,Central,OFF-BI-10002071,Office Supplies,Binders,fellowes black plastic comb bindings,17.43
1,7381,CA-2017-105732,2017-09-13,2017-09-18,Standard Class,AG-10270,Alejandro Grove,Consumer,united states,omaha,nebraska,68104,Central,OFF-LA-10004559,Office Supplies,Labels,avery 49,14.4
1,7387,CA-2017-105732,2017-09-13,2017-09-18,Standard Class,AG-10270,Alejandro Grove,Consumer,united states,omaha,nebraska,68104,Central,OFF-ST-10004340,Office Supplies,Storage,"fellowes mobile file cart, black",373.08
1,5977,CA-2018-102155,2018-07-13,2018-07-17,Standard Class,RR-19525,Rick Reed,Corporate,united states,overland park,kansas,66212,Central,OFF-PA-10003673,Office Supplies,Paper,strathmore photo mount cards,13.56
1,7488,US-2016-134558,2016-12-19,2016-12-24,Second Class,PM-19135,Peter McVee,Home Office,united states,dover,new hampshire,3820,East,TEC-AC-10004145,Technology,Accessories,logitech dinovo edge keyboard,2249.91
1,1087,CA-2017-167584,2017-08-12,2017-08-12,Same Day,LC-16870,Lena Cacioppo,Consumer,united states,des moines,iowa,50315,Central,OFF-PA-10000029,Office Supplies,Paper,xerox 224,6.48
1,2316,CA-2018-122035,2018-07-20,2018-07-25,Standard Class,EM-13825,Elizabeth Moffitt,Corporate,united states,sioux falls,south dakota,57103,Central,OFF-BI-10000404,Office Supplies,Binders,avery printable repositionable plastic tabs,43.0
1,6008,CA-2018-129028,2018-04-01,2018-04-03,First Class,GB-14530,George Bell,Corporate,united states,florence,south carolina,29501,South,FUR-FU-10004006,Furniture,Furnishings,"deflect-o duramat lighweight, studded, beveled mat for low pile carpeting",127.95
1,7276,CA-2016-144519,2016-11-13,2016-11-17,Standard Class,AW-10930,Arthur Wiediger,Home Office,united states,helena,montana,59601,West,FUR-FU-10000794,Furniture,Furnishings,"eldon stackable tray, side-load, legal, smoke",63.98
1,3477,CA-2017-144911,2017-11-27,2017-11-30,First Class,RW-19630,Rob Williams,Corporate,united states,overland park,kansas,66212,Central,OFF-BI-10000977,Office Supplies,Binders,ibico plastic spiral binding combs,152.0
1,86,CA-2018-140088,2018-05-28,2018-05-30,Second Class,PO-18865,Patrick O'Donnell,Consumer,united states,columbia,south carolina,29203,South,FUR-CH-10000863,Furniture,Chairs,novimex swivel fabric task chair,301.96
1,7489,US-2016-134558,2016-12-19,2016-12-24,Second Class,PM-19135,Peter McVee,Home Office,united states,dover,new hampshire,3820,East,FUR-TA-10003473,Furniture,Tables,bretford rectangular conference table tops,1053.164
1,2400,CA-2018-147361,2018-09-09,2018-09-15,Standard Class,SB-20290,Sean Braxton,Corporate,united states,florence,south carolina,29501,South,OFF-ST-10001809,Office Supplies,Storage,fellowes officeware wire shelving,628.81
1,3790,US-2017-133508,2017-04-17,2017-04-21,Standard Class,SW-20350,Sean Wendt,Home Office,united states,omaha,nebraska,68104,Central,OFF-FA-10000134,Office Supplies,Fasteners,"advantus push pins, aluminum head",29.05
1,3773,CA-2015-115357,2015-08-06,2015-08-11,Second Class,RF-19735,Roland Fjeld,Consumer,united states,columbia,south carolina,29203,South,TEC-AC-10000023,Technology,Accessories,"maxell 74 minute cd-r spindle, 50/pack",62.91
1,8603,US-2015-133949,2015-12-31,2015-12-31,Same Day,JL-15175,James Lanier,Home Office,united states,reno,nevada,89502,West,TEC-PH-10004908,Technology,Phones,panasonic kx ts3282w corded phone,475.944
1,2892,CA-2015-142727,2015-04-29,2015-05-01,Second Class,HG-14845,Harry Greene,Consumer,united states,lake charles,louisiana,70601,South,OFF-BI-10000136,Office Supplies,Binders,avery non-stick heavy duty view round locking ring binders,17.94
1,2620,CA-2018-115931,2018-12-22,2018-12-26,Standard Class,JM-15655,Jim Mitchum,Corporate,united states,carlsbad,new mexico,88220,West,TEC-PH-10001300,Technology,Phones,"ikross bluetooth portable keyboard + cell phone stand holder + brush for apple iphone 5s 5c 5, 4s 4",67.04
1,5413,CA-2018-166856,2018-09-18,2018-09-22,Standard Class,TS-21505,Tony Sayre,Consumer,united states,clovis,new mexico,88101,West,TEC-AC-10004992,Technology,Accessories,kingston digital datatraveler 64gb usb 2.0,101.34
1,1565,CA-2015-116239,2015-03-04,2015-03-04,Same Day,CL-12565,Clay Ludtke,Consumer,united states,columbia,south carolina,29203,South,OFF-ST-10001370,Office Supplies,Storage,sensible storage wiretech storage systems,354.9
